id,title,source_section,requirement,status,test_evidence,implementation
P-050,关于品牌,3.2 前台页面清单,P-050 | 关于品牌 | /about | 所有人 | 品牌介绍；另见：P-050 | 关于品牌 | 前台 | 必须 | 响应式、SEO、埋点,部分实现,docs/阶段一验证.md（含未覆盖范围）,品牌介绍读取首页 CMS；文字为待审核占位内容
P-051,质量与安全,3.2 前台页面清单,P-051 | 质量与安全 | /quality-safety | 所有人 | 材料、安全、测试与合规资料；另见：P-051 | 质量与安全 | 前台 | 必须 | 响应式、SEO、埋点,未实现,,
P-060,搜索结果,3.2 前台页面清单,P-060 | 搜索结果 | /search | 所有人 | 产品、文章、FAQ、下载统一搜索；另见：P-060 | 搜索结果 | 前台 | 必须 | 响应式、SEO、埋点,未实现,,
P-070,购物车,3.2 前台页面清单,P-070 | 购物车 | /cart | 用户/经销商 | 角色化价格与采购规则；另见：P-070 | 购物车 | 前台 | 必须 | 响应式、SEO、埋点,未实现,,
P-071,结算,3.2 前台页面清单,P-071 | 结算 | /checkout | 用户/经销商 | 地址、配送、支付或 PO；另见：P-071 | 结算 | 前台 | 必须 | 响应式、SEO、埋点,未实现,,
P-072,订单成功,3.2 前台页面清单,P-072 | 订单成功 | /order/success | 用户/经销商 | 订单确认与下一步；另见：P-072 | 订单成功 | 前台 | 必须 | 响应式、SEO、埋点,未实现,,
P-080,隐私政策,3.2 前台页面清单,P-080 | 隐私政策 | /privacy | 所有人 | 法律页面；另见：P-080 | 隐私政策 | 前台 | 必须 | 响应式、SEO、埋点,部分实现,docs/阶段一验证.md（含未覆盖范围）,仅本机预览隐私说明；正式政策待提供
P-081,网站条款,3.2 前台页面清单,P-081 | 网站条款 | /terms | 所有人 | 法律页面；另见：P-081 | 网站条款 | 前台 | 必须 | 响应式、SEO、埋点,未实现,,
P-082,Cookie 设置,3.2 前台页面清单,P-082 | Cookie 设置 | /cookies | 所有人 | 同意管理；另见：P-082 | Cookie 设置 | 前台 | 必须 | 响应式、SEO、埋点,未实现,,
FE-001,头部固定区域,4.1 全站头部与导航,FE-001 | 头部固定区域 | 桌面端包含 Logo、主导航、搜索、账号、购物车。滚动后高度缩小但保留主要操作。 | P0,未实现,,
FE-002,移动导航,4.1 全站头部与导航,FE-002 | 移动导航 | 采用抽屉式菜单。一级与二级导航可展开，账号与经销商登录明确分开。 | P0,未实现,,
FE-003,站点公告,4.1 全站头部与导航,FE-003 | 站点公告 | 后台可配置公告条，可设置开始时间、结束时间、链接、语言、市场和是否可关闭。 | P1,未实现,,
FE-004,搜索入口,4.1 全站头部与导航,FE-004 | 搜索入口 | 支持关键词联想，优先返回产品，同时可返回文章、FAQ、下载。 | P0,未实现,,
FE-005,账号识别,4.1 全站头部与导航,FE-005 | 账号识别 | 登录后根据账号类型显示 User Account 或 Dealer Portal，不混用两个中心。 | P0,未实现,,
FE-006,区域切换,4.1 全站头部与导航,FE-006 | 区域切换 | 支持国家/地区与语言切换。切换后重新应用价格、货币、可售产品和内容规则。 | P1,部分实现,2026-09-07 浏览器切换、跨页保持及 390px 视口检查；Web 类型检查和生产构建通过,已实现 English／中文切换和 Cookie 持久化；国家地区、价格、可售内容规则未实现
HOME-001,Hero,9.  邮件订阅。明确说明订阅内容并要求隐私同意。,HOME-001 | Hero | 支持桌面/移动独立图片、视频封面、标题、副标题、按钮、内容对齐方式、定时上下线。,未实现,,
HOME-002,模块顺序,9.  邮件订阅。明确说明订阅内容并要求隐私同意。,HOME-002 | 模块顺序 | 管理员可拖拽排序首页模块。,未实现,,
HOME-003,商品集合,9.  邮件订阅。明确说明订阅内容并要求隐私同意。,HOME-003 | 商品集合 | 模块可绑定手动商品、分类、新品、指定标签或自动推荐规则。,未实现,,
HOME-004,内容集合,9.  邮件订阅。明确说明订阅内容并要求隐私同意。,HOME-004 | 内容集合 | 可绑定文章分类或手动选择内容。,未实现,,
HOME-005,图片规范,9.  邮件订阅。明确说明订阅内容并要求隐私同意。,HOME-005 | 图片规范 | 上传后自动生成响应式尺寸和 WebP/AVIF，不直接把超大原图加载到移动端。,未实现,,
HOME-006,无障碍,9.  邮件订阅。明确说明订阅内容并要求隐私同意。,HOME-006 | 无障碍 | 首屏文字不应只存在于图片中；按钮有文本；图片有 alt。,未实现,,
HOME-007,运营追踪,9.  邮件订阅。明确说明订阅内容并要求隐私同意。,HOME-007 | 运营追踪 | 所有 CTA 记录点击事件，包含模块 ID、按钮位置和目标 URL。,未实现,,
PLP-001,列表展示,4.3 产品列表与分类页,PLP-001 | 列表展示 | 默认卡片包含主图、产品名、简短卖点、年龄、标签；B2C 开启时显示零售价；经销商登录时显示经销商价或起订提示。,部分实现,docs/阶段一验证.md（含未覆盖范围）,公开商品卡片；价格和经销商状态未实现
PLP-002,筛选,4.3 产品列表与分类页,PLP-002 | 筛选 | 至少支持类别、年龄、使用场景、技能方向、室内/户外、库存状态、价格区间。后台可控制哪些属性可筛选。,部分实现,docs/阶段一验证.md（含未覆盖范围）,类别/年龄/室内外筛选；其余属性及后台配置未实现
PLP-003,排序,4.3 产品列表与分类页,PLP-003 | 排序 | Featured、Newest、Price Low to High、Price High to Low、Name；管理员可配置默认排序。,部分实现,docs/阶段一验证.md（含未覆盖范围）,Newest/Name；价格和 Featured 等未实现
PLP-004,URL 状态,4.3 产品列表与分类页,PLP-004 | URL 状态 | 筛选条件写入 URL，便于分享和返回；对 SEO 无价值的组合页使用 canonical/noindex 策略。,部分实现,docs/阶段一验证.md（含未覆盖范围）,筛选写入 URL；预览全站 noindex，正式 canonical 策略待实现
PLP-005,分页,4.3 产品列表与分类页,PLP-005 | 分页 | 可使用分页或 Load More。不得仅依赖无限滚动导致 SEO 和可访问性问题。,部分实现,docs/阶段一验证.md（含未覆盖范围）,分页 API 和导航已实现；尚未单独完成跨页 UI 验收
PLP-006,空结果,4.3 产品列表与分类页,PLP-006 | 空结果 | 显示清除筛选、返回分类和推荐产品，不显示空白页。,部分实现,docs/阶段一验证.md（含未覆盖范围）,空结果与清除筛选；推荐产品未实现
PLP-007,产品标签,4.3 产品列表与分类页,PLP-007 | 产品标签 | 支持 New、Best Seller、Dealer Only、Out of Stock、Coming Soon 等后台控制标签。,未实现,,
PLP-008,快速操作,4.3 产品列表与分类页,PLP-008 | 快速操作 | 支持收藏、比较；如启用购物，可支持快速加入购物车。,未实现,,
PDP-001,媒体画廊,4.4 产品详情页,PDP-001 | 媒体画廊 | 支持主图、细节图、场景图、尺寸图、包装图、短视频。缩略图可切换，移动端支持滑动。,部分实现,docs/阶段一验证.md（含未覆盖范围）,只有主图；多媒体画廊未实现
PDP-002,基础信息,4.4 产品详情页,PDP-002 | 基础信息 | 产品名、SKU、简短卖点、适用年龄、场景、状态、评分或评论开关。,部分实现,docs/阶段一验证.md（含未覆盖范围）,名称/SKU/简介/年龄/空间/状态；评分开关未实现
PDP-003,价格,4.4 产品详情页,PDP-003 | 价格 | 游客/用户显示零售价；经销商显示授权价格；未授权经销商不可通过接口获取经销商价。,未实现,,
PDP-004,变体,4.4 产品详情页,PDP-004 | 变体 | 如同一产品有颜色、套装、包装等变体，切换变体后同步更新 SKU、媒体、库存、价格。,未实现,,
PDP-005,CTA,4.4 产品详情页,PDP-005 | CTA | B2C 开启时显示 Add to Cart/Buy Now；不售卖时显示 Where to Buy/Contact；经销商显示 Add to Dealer Cart/Request Quote。,部分实现,docs/阶段一验证.md（含未覆盖范围）,非交易 Contact CTA；B2C 与经销商分支未实现
PDP-006,核心卖点,4.4 产品详情页,PDP-006 | 核心卖点 | 3-6 条短卖点，描述具体功能与玩法，不使用重复宣传语。,部分实现,docs/阶段一验证.md（含未覆盖范围）,后台维护特点并在详情展示；真实文案待审核
PDP-007,规格表,4.4 产品详情页,PDP-007 | 规格表 | 尺寸、重量、材质、包装尺寸、包装重量、装箱数、年龄、颜色、包含物等结构化字段。,部分实现,docs/阶段一验证.md（含未覆盖范围）,键值规格展示；完整分类字段模板待实现
PDP-008,玩法与说明,4.4 产品详情页,PDP-008 | 玩法与说明 | 展示 Setup、How to Play、Care、Safety Notes。支持图文或视频。,部分实现,docs/阶段一验证.md（含未覆盖范围）,正文和安全说明；玩法分区与视频待实现
PDP-009,下载资料,4.4 产品详情页,PDP-009 | 下载资料 | 说明书、产品目录、合规文件、图片资料等按权限显示。,未实现,,
PDP-010,相关产品,4.4 产品详情页,PDP-010 | 相关产品 | 可由管理员手动关联，也可按类别/标签自动推荐。,未实现,,
PDP-011,FAQ,4.4 产品详情页,PDP-011 | FAQ | 产品级 FAQ 与全局 FAQ 可组合。,未实现,,
PDP-012,经销商信息,4.4 产品详情页,PDP-012 | 经销商信息 | 用户可进入 Where to Buy；经销商可看到 MOQ、箱规、交期、经销商 SKU、可售区域。,未实现,,
PDP-013,结构化数据,4.4 产品详情页,PDP-013 | 结构化数据 | 输出 Product、Offer、Breadcrumb、FAQ 等适用 Schema.org 数据。,未实现,,
PDP-014,分享,4.4 产品详情页,PDP-014 | 分享 | 分享链接保留 canonical URL，不把临时筛选或追踪参数作为主 URL。,未实现,,
CNT-001,文章类型,4.6 内容与玩法文章,CNT-001 | 文章类型 | How to Play、Family Activities、Development Skills、Buying Guide、News。,未实现,,
CNT-002,编辑器,4.6 内容与玩法文章,CNT-002 | 编辑器 | 支持标题、段落、列表、图片、视频、引用、CTA、商品卡、FAQ、下载附件。,未实现,,
CNT-003,关联产品,4.6 内容与玩法文章,CNT-003 | 关联产品 | 每篇内容可关联多个产品，前台自动显示产品卡。,未实现,,
CNT-004,作者和时间,4.6 内容与玩法文章,CNT-004 | 作者和时间 | 可展示作者、发布日期、更新时间；更新时间真实变化时才修改。,未实现,,
CNT-005,SEO,4.6 内容与玩法文章,CNT-005 | SEO | 独立 title、description、slug、OG 图、canonical、索引开关。,未实现,,
CNT-006,相关内容,4.6 内容与玩法文章,CNT-006 | 相关内容 | 文章底部展示同分类或手动关联内容。,未实现,,
DLR-001,地图与列表,4.7 经销商查找,DLR-001 | 地图与列表 | 地图和列表同步；支持国家、州/省、城市、邮编搜索。,未实现,,
DLR-002,经销商字段,4.7 经销商查找,DLR-002 | 经销商字段 | 名称、Logo、类型、地址、电话、网站、营业信息、线上/线下、授权产品类别。,未实现,,
DLR-003,隐私与发布,4.7 经销商查找,DLR-003 | 隐私与发布 | 仅发布审核通过且允许公开的经销商。经销商后台可提交修改，需平台审核后上线。,未实现,,
DLR-004,无结果,4.7 经销商查找,DLR-004 | 无结果 | 可引导用户联系品牌或查看线上购买渠道。,未实现,,
DLR-005,SEO,4.7 经销商查找,DLR-005 | SEO | 公开经销商详情可配置是否建立独立页面，避免薄内容大量索引。,未实现,,
CT-001,联系类型,4.10 联系我们,CT-001 | 联系类型 | General、Product Question、Order Support、Dealer Inquiry、Media/Business，可后台配置。,部分实现,docs/阶段一验证.md（含未覆盖范围）,预置联系类型；后台配置未实现
CT-002,表单字段,4.10 联系我们,CT-002 | 表单字段 | 姓名、邮箱、国家、主题、消息；订单支持可选订单号；产品咨询可选产品。,部分实现,docs/阶段一验证.md（含未覆盖范围）,基本字段和可选产品；订单关联未实现
CT-003,反垃圾,4.10 联系我们,CT-003 | 反垃圾 | 速率限制、隐形验证码或风险评分、重复提交防护。,部分实现,docs/阶段一验证.md（含未覆盖范围）,数据库限流、honeypot 与幂等；风险评分未实现
CT-004,工单/线索,4.10 联系我们,CT-004 | 工单/线索 | 提交后进入后台表单中心并生成编号，可分配负责人、状态、标签和内部备注。,部分实现,docs/阶段一验证.md（含未覆盖范围）,编号、三态与内部备注；分配、标签及完整状态未实现
CT-005,通知,4.10 联系我们,CT-005 | 通知 | 用户收到确认邮件；指定内部邮箱或工作流收到通知。,未实现,,
USR-001,注册,5.1 用户中心首页,USR-001 | 注册 | 邮箱、密码、姓名；必须同意隐私政策和网站条款。营销订阅单独勾选。,未实现,,
USR-002,邮箱验证,5.1 用户中心首页,USR-002 | 邮箱验证 | 注册后验证邮箱；未验证时限制敏感操作。,未实现,,
USR-003,资料,5.1 用户中心首页,USR-003 | 资料 | 姓名、显示名、电话、国家/地区、偏好语言。,未实现,,
USR-004,地址簿,5.1 用户中心首页,USR-004 | 地址簿 | 支持多个收货/账单地址、默认地址、增删改。,未实现,,
USR-005,收藏,5.1 用户中心首页,USR-005 | 收藏 | 产品收藏，支持取消和从收藏加入购物车。,未实现,,
USR-006,订单,5.1 用户中心首页,USR-006 | 订单 | 查看订单列表、详情、支付、配送、发票/收据和售后入口。,未实现,,
USR-007,退换/售后,5.1 用户中心首页,USR-007 | 退换/售后 | 按订单行项目提交，填写原因、数量、说明和图片。,未实现,,
USR-008,订阅,5.1 用户中心首页,USR-008 | 订阅 | 管理营销邮件、产品更新等偏好。,未实现,,
USR-009,安全,5.1 用户中心首页,USR-009 | 安全 | 修改密码、查看活跃会话、退出其他设备；可扩展 MFA。,未实现,,
USR-010,账户删除,5.1 用户中心首页,USR-010 | 账户删除 | 用户可提交账户删除请求；法律要求保留的订单财务记录进行去标识或受限保留。,未实现,,
QTE-001,创建报价请求,6.5 报价与询价,QTE-001 | 创建报价请求 | 经销商从商品或购物车发起，填写数量、目标交期、备注和附件。,未实现,,
QTE-002,平台报价,6.5 报价与询价,QTE-002 | 平台报价 | 内部人员填写单价、折扣、运费、税费、有效期、付款条款、交期。,未实现,,
QTE-003,版本,6.5 报价与询价,QTE-003 | 版本 | 修改报价形成版本记录，不覆盖旧报价。,未实现,,
QTE-004,接受报价,6.5 报价与询价,QTE-004 | 接受报价 | 经销商接受后可直接转订单，价格引用报价快照。,未实现,,
QTE-005,拒绝/过期,6.5 报价与询价,QTE-005 | 拒绝/过期 | 记录原因；过期后不可直接转订单。,未实现,,
QTE-006,通知,6.5 报价与询价,QTE-006 | 通知 | 提交、平台回复、即将到期、接受、拒绝均触发通知。,未实现,,
ADM-P-001,产品 CRUD,7.3 商品管理,ADM-P-001 | 产品 CRUD | 新增、编辑、复制、归档、恢复。正式下架不物理删除。,部分实现,docs/阶段一验证.md（含未覆盖范围）,新增、编辑、归档与重新发布；复制未实现
ADM-P-002,状态,7.3 商品管理,ADM-P-002 | 状态 | Draft、Scheduled、Active、Hidden、Archived。,部分实现,docs/阶段一验证.md（含未覆盖范围）,Draft/Active/Archived；Scheduled/Hidden 未实现
ADM-P-003,基础字段,7.3 商品管理,ADM-P-003 | 基础字段 | 产品名、slug、SKU、短描述、长描述、分类、标签、年龄、场景、技能、状态。,部分实现,docs/阶段一验证.md（含未覆盖范围）,基础字段维护；标签和技能等完整属性待实现
ADM-P-004,变体,7.3 商品管理,ADM-P-004 | 变体 | 一个产品包含 0-N 个变体，每个变体独立 SKU、条码、价格、库存、媒体和规格。,部分实现,docs/阶段一验证.md（含未覆盖范围）,独立默认 SKU；多变体和交易字段未实现
ADM-P-005,媒体,7.3 商品管理,ADM-P-005 | 媒体 | 拖拽排序、主图、alt、图片类型、语言/市场覆盖。,部分实现,docs/阶段一验证.md（含未覆盖范围）,单图上传、alt、WebP；排序、多图和市场覆盖待实现
ADM-P-006,规格,7.3 商品管理,ADM-P-006 | 规格 | 后台定义属性模板，不同分类可绑定不同规格字段。,部分实现,docs/阶段一验证.md（含未覆盖范围）,产品键值规格；后台属性模板未实现
ADM-P-007,下载,7.3 商品管理,ADM-P-007 | 下载 | 说明书、证书、产品资料与产品关联，并控制公开/用户/经销商可见。,未实现,,
ADM-P-008,关联,7.3 商品管理,ADM-P-008 | 关联 | Related、Accessories、Replacement 等关联类型。,未实现,,
ADM-P-009,批量操作,7.3 商品管理,ADM-P-009 | 批量操作 | 批量上下架、分类、标签、价格导入、库存导入、CSV 导出。,未实现,,
ADM-P-010,变更历史,7.3 商品管理,ADM-P-010 | 变更历史 | 记录关键字段修改。,部分实现,docs/阶段一验证.md（含未覆盖范围）,数据库审计保存关键字段前后值；界面仅审计摘要
ADM-PR-001,零售价,7.5 价格与促销,ADM-PR-001 | 零售价 | 按 SKU、市场、币种维护 MSRP/Sale Price。,未实现,,
ADM-PR-002,经销商价格,7.5 价格与促销,ADM-PR-002 | 经销商价格 | 支持等级、价格表、企业专属价。,未实现,,
ADM-PR-003,有效期,7.5 价格与促销,ADM-PR-003 | 有效期 | 所有促销和特殊价格可设置起止时间。,未实现,,
ADM-PR-004,折扣码,7.5 价格与促销,ADM-PR-004 | 折扣码 | 百分比、固定金额、免运费；限制市场、产品、最低金额、次数、用户。,未实现,,
ADM-PR-005,审计,7.5 价格与促销,ADM-PR-005 | 审计 | 批量价格变更需预览影响数量，提交后记录操作者和变更结果。,未实现,,
ADM-O-001,订单查看,7.7 订单管理,ADM-O-001 | 订单查看 | 订单号、来源、用户/经销商、明细、金额、地址、支付、物流、备注、历史。,未实现,,
ADM-O-002,人工订单,7.7 订单管理,ADM-O-002 | 人工订单 | 有权限人员可为用户或经销商创建订单。,未实现,,
ADM-O-003,修改限制,7.7 订单管理,ADM-O-003 | 修改限制 | 确认后的订单修改需记录原因；已支付订单不得直接改金额而无调整记录。,未实现,,
ADM-O-004,支付,7.7 订单管理,ADM-O-004 | 支付 | 记录交易 ID、方式、状态、金额、时间、回调。,未实现,,
ADM-O-005,发货,7.7 订单管理,ADM-O-005 | 发货 | 支持一个订单多次发货、物流商、运单号、发货数量。,未实现,,
ADM-O-006,取消,7.7 订单管理,ADM-O-006 | 取消 | 按订单状态判断是否允许，记录原因并处理支付/库存。,未实现,,
ADM-O-007,退款,7.7 订单管理,ADM-O-007 | 退款 | 支持全额/部分退款；必须记录退款原因和外部支付结果。,未实现,,
ADM-O-008,导出,7.7 订单管理,ADM-O-008 | 导出 | 按筛选条件导出，导出敏感字段需要权限。,未实现,,
ADM-D-001,申请队列,7.8 经销商管理,ADM-D-001 | 申请队列 | 按状态、国家、申请时间、业务类型筛选。,未实现,,
ADM-D-002,审核,7.8 经销商管理,ADM-D-002 | 审核 | 查看表单与附件；填写内部备注；要求补件；通过或拒绝。,未实现,,
ADM-D-003,通过配置,7.8 经销商管理,ADM-D-003 | 通过配置 | 创建企业、价格等级、币种、付款条款、区域、销售代表、授权产品。,未实现,,
ADM-D-004,企业管理,7.8 经销商管理,ADM-D-004 | 企业管理 | 编辑企业资料、成员、地址、公开门店信息、状态。,未实现,,
ADM-D-005,特殊价格,7.8 经销商管理,ADM-D-005 | 特殊价格 | 绑定专属价格表或企业级覆盖价。,未实现,,
ADM-D-006,暂停,7.8 经销商管理,ADM-D-006 | 暂停 | 可仅暂停下单或完全暂停登录。,未实现,,
ADM-D-007,数据导出,7.8 经销商管理,ADM-D-007 | 数据导出 | 支持经销商名单、申请、销售等导出，受权限控制。,未实现,,
ADM-C-001,页面,7.10 CMS 页面和首页模块,ADM-C-001 | 页面 | 建立普通内容页，支持 slug、模板、模块化内容、SEO、发布状态。,未实现,,
ADM-C-002,首页模块,7.10 CMS 页面和首页模块,ADM-C-002 | 首页模块 | Hero、分类卡、商品集合、内容集合、品牌价值、经销商 CTA、订阅等。,部分实现,docs/阶段一验证.md（含未覆盖范围）,首页标题、简介、品牌介绍与 CTA 文案；完整模块未实现
ADM-C-003,发布,7.10 CMS 页面和首页模块,ADM-C-003 | 发布 | Draft、Scheduled、Published、Archived；定时发布和定时下线。,未实现,,
ADM-C-004,预览,7.10 CMS 页面和首页模块,ADM-C-004 | 预览 | 草稿可生成仅授权人员访问的预览链接。,未实现,,
ADM-C-005,版本,7.10 CMS 页面和首页模块,ADM-C-005 | 版本 | 至少保存最近版本或关键修改历史，支持查看旧版本。,部分实现,docs/阶段一验证.md（含未覆盖范围）,修改审计和版本冲突保护；旧版本浏览恢复未实现
ADM-C-006,导航,7.10 CMS 页面和首页模块,ADM-C-006 | 导航 | 头部和页脚导航后台管理，支持多语言和排序。,部分实现,2026-09-07 浏览器切换、跨页保持及 390px 视口检查；Web 类型检查和生产构建通过,头部和页脚导航支持英汉界面；后台配置、排序及内容语言版本未实现
SEA-001,范围,11.1 全站搜索,SEA-001 | 范围 | 产品、文章、FAQ、下载资料。,未实现,,
SEA-002,分词,11.1 全站搜索,SEA-002 | 分词 | 英文支持词形和容错；中文启用时支持中文分词。,未实现,,
SEA-003,同义词,11.1 全站搜索,SEA-003 | 同义词 | 后台维护 bowling set / bowling game 等同义词。,未实现,,
SEA-004,权重,11.1 全站搜索,SEA-004 | 权重 | 产品名称和 SKU 权重最高，其次分类、标签、正文。,未实现,,
SEA-005,建议,11.1 全站搜索,SEA-005 | 建议 | 输入 2-3 个字符后可展示产品和关键词建议。,未实现,,
SEA-006,无结果,11.1 全站搜索,SEA-006 | 无结果 | 显示建议关键词、热门产品、清除筛选和联系入口。,未实现,,
SEA-007,分析,11.1 全站搜索,SEA-007 | 分析 | 记录搜索词、结果数、点击、无结果词，用于运营。,未实现,,
SEO-001,SSR/预渲染,12.2 SEO 技术要求,SEO-001 | SSR/预渲染 | 产品、分类、内容页面的主要文本与链接需要在首个 HTML 中可读取。,未实现,,
SEO-002,可编辑元信息,12.2 SEO 技术要求,SEO-002 | 可编辑元信息 | Title、Description、H1、slug、canonical、OG 独立管理。,未实现,,
SEO-003,Schema,12.2 SEO 技术要求,SEO-003 | Schema | Product、Offer、BreadcrumbList、Article、FAQPage、Organization 按页面输出。,未实现,,
SEO-004,Sitemap,12.2 SEO 技术要求,SEO-004 | Sitemap | 自动生成，排除 noindex、草稿、后台、账号页。,未实现,,
SEO-005,Robots,12.2 SEO 技术要求,SEO-005 | Robots | 生产环境 robots.txt 可配置；测试环境必须阻止索引。,未实现,,
SEO-006,重定向,12.2 SEO 技术要求,SEO-006 | 重定向 | URL 变更自动建议创建 301；支持批量导入。,未实现,,
SEO-007,404,12.2 SEO 技术要求,SEO-007 | 404 | 有品牌化 404 页面，支持搜索和主入口。,未实现,,
SEO-008,性能,12.2 SEO 技术要求,SEO-008 | 性能 | Core Web Vitals 作为上线验收项。,未实现,,
SEC-001,密码,16.1 账户与访问安全,SEC-001 | 密码 | 使用现代自适应哈希算法；后台不可恢复明文密码。,部分实现,docs/阶段一验证.md（含未覆盖范围）,后台密码 scrypt；用户与经销商身份尚未实现
SEC-002,MFA,16.1 账户与访问安全,SEC-002 | MFA | 后台强制 MFA；经销商可按企业或系统策略启用。,部分实现,docs/阶段一验证.md（含未覆盖范围）,后台强制 TOTP 与防重放；绑定恢复、企业策略待实现
SEC-003,会话,16.1 账户与访问安全,SEC-003 | 会话 | HttpOnly、Secure、SameSite Cookie；会话超时；敏感操作重新认证。,部分实现,docs/阶段一验证.md（含未覆盖范围）,HttpOnly/SameSite 会话、到期与退出；敏感操作重新认证未实现
SEC-004,限流,16.1 账户与访问安全,SEC-004 | 限流 | 登录、注册、找回密码、表单、搜索 API 设置速率限制。,部分实现,docs/阶段一验证.md（含未覆盖范围）,登录与联系限流；注册/重置/搜索等未覆盖
SEC-005,权限,16.1 账户与访问安全,SEC-005 | 权限 | 服务端权限校验，前端隐藏按钮不能作为权限控制。,部分实现,docs/阶段一验证.md（含未覆盖范围）,后台模块服务端权限；企业隔离与完整角色未实现
SEC-006,CSRF/XSS,16.1 账户与访问安全,SEC-006 | CSRF/XSS | 所有写请求具备 CSRF 防护；富文本进行白名单清洗；默认输出转义。,部分实现,docs/阶段一验证.md（含未覆盖范围）,当前写接口 Origin+CSRF 校验和纯文本转义；富文本未引入
SEC-007,文件上传,16.1 账户与访问安全,SEC-007 | 文件上传 | 限制 MIME、扩展名、大小；文件扫描；私有文件不直接公开。,部分实现,docs/阶段一验证.md（含未覆盖范围）,大小/格式/解码限制、未发布媒体鉴权；病毒扫描与完整私有文件待实现
SEC-008,日志,16.1 账户与访问安全,SEC-008 | 日志 | 安全日志包含登录、失败、权限修改、导出、退款等。,部分实现,docs/阶段一验证.md（含未覆盖范围）,成功登录及业务修改审计；完整安全事件未覆盖
PERF-001,LCP,17.1 性能目标,PERF-001 | LCP | 主要模板在真实移动网络下尽量控制在 2.5 秒内，至少达到 Core Web Vitals Good 的目标。,未实现,,
PERF-002,CLS,17.1 性能目标,PERF-002 | CLS | 页面加载过程中布局稳定，目标 <= 0.1。,未实现,,
PERF-003,INP,17.1 性能目标,PERF-003 | INP | 交互响应达到 Core Web Vitals Good 目标。,未实现,,
PERF-004,图片,17.1 性能目标,PERF-004 | 图片 | 响应式尺寸、懒加载、现代格式、CDN。首屏图片优先加载。,未实现,,
